Thread ID: 15489480
Fiber ID: 21976728
Total: 100.086000
Sort by: self_time

 %self      total      self      wait     child     calls  name
 85.82     99.842    85.897     0.000    13.945        1   Gosu::Window#show_internal 
  9.29      9.294     9.294     0.000     0.000      633   Gosu::Image#initialize 
  1.40      1.398     1.398     0.000     0.000     3160   Gosu::Sample#initialize_ 
  0.55      0.549     0.549     0.000     0.000   235671   Gosu::Image#draw_rot 
  0.43      0.650     0.435     0.000     0.215   235079   Bloon#move 
  0.42      0.421     0.421     0.000     0.000        1   Gosu::Window#close 
  0.24      0.244     0.244     0.000     0.000        1   Gosu::Window#initialize 
  0.11      0.115     0.115     0.000     0.000   477742   Kernel#is_a? 
  0.10      0.096     0.096     0.000     0.000   236343   Gosu::Image#width 
  0.08      0.129     0.078     0.000     0.051     6200   Array#include? 
  0.07      0.067     0.067     0.000     0.000   235117   Gosu::Window#height 
  0.07      0.067     0.067     0.000     0.000   281756   BasicObject#== 
  0.04      2.337     0.044     0.000     2.293    27407  *Array#each 
  0.04      0.050     0.040     0.000     0.010    39273   Kernel#respond_to? 
  0.04      0.083     0.037     0.000     0.046    11827   Array#select 
  0.03      0.043     0.027     0.000     0.016     2368   Array#delete 
  0.02     12.777     0.025     0.000    12.752     5913   MyWindow#update 
  0.02      2.289     0.024     0.000     2.265    11827   Gubby::GameEngine#run 
  0.02      1.478     0.021     0.000     1.457      632   Range#each 
  0.02      0.020     0.020     0.000     0.000    11827   Symbol#to_s 
  0.02     10.891     0.020     0.000    10.871      632   Bloon#initialize 
  0.02      1.424     0.019     0.000     1.405     3160   Gosu::Sample#initialize 
  0.02      0.017     0.017     0.000     0.000     3160   <Class::Gosu::Sample>#allocate 
  0.02      0.016     0.016     0.000     0.000     3160   <Class::Gosu::Color>#allocate 
  0.01      0.015     0.015     0.000     0.000     5939   Gosu::Window#needs_cursor? 
  0.01      1.051     0.013     0.000     1.038    11826  *Gosu::Window#protected_draw_2 
  0.01      1.021     0.011     0.000     1.010     5913   MyWindow#draw 
  0.01      0.026     0.010     0.000     0.016     2528   Gubby::Components::Color#component_added 
  0.01      0.010     0.010     0.000     0.000    24918   Kernel#respond_to_missing? 
  0.01      0.011     0.009     0.000     0.002     3793   Kernel#rand 
  0.01      0.008     0.008     0.000     0.000     3160   Gosu::Color#initialize 
  0.01      0.008     0.008     0.000     0.000     3792   Module#extend_object 
  0.01      0.943     0.008     0.000     0.935     5913   Gubby::Systems::GosuRenderSystem#draw 
  0.01      1.191     0.008     0.000     1.183     5913   UpdateSystem#update 
  0.01      0.151     0.007     0.000     0.144      632   Gubby::GameEngine#add_entity 
  0.01      9.304     0.006     0.000     9.298      633   Gubby::Components::Sprite2D#load 
  0.01      0.006     0.006     0.000     0.000     3160   Fixnum#to_s 
  0.01      0.006     0.006     0.000     0.000     5913   Gosu::Window#button_down? 
  0.00      0.022     0.005     0.000     0.017     3792   Kernel#extend 
  0.00      0.084     0.005     0.000     0.079     1896   Gubby::Systems::GameSystem#refresh_entity 
  0.00      0.004     0.004     0.000     0.000     5913   Gosu::Window#needs_redraw? 
  0.00      0.003     0.003     0.000     0.000     3792   Module#extended 
  0.00      0.003     0.003     0.000     0.000     3160   Array#shift 
  0.00      0.003     0.003     0.000     0.000     6323   Array#push 
